Date,Week,Weekly Sales (Million),Log of Weekly Sales (Million),Square Root of Weekly Sales (Million),Holiday,Week 47,Week 51,Time Period,Dataset
2010-12-31,52,40.432519,3.6996343869306867,6.3586570122943415,Christmas,0,0,52,Train
2011-01-07,1,42.77578777,3.755972236207154,6.540320158065659,,0,0,53,Train
2011-01-14,2,40.67367804,3.7055811520237816,6.377591868409266,,0,0,54,Train
2011-01-21,3,40.654648030000004,3.7051131721386206,6.376099750631259,,0,0,55,Train
2011-01-28,4,39.59985299,3.678825405879807,6.2928414082987985,,0,0,56,Train
2011-02-04,5,46.15311112,3.8319643718944603,6.793608107625873,,0,0,57,Train
2011-02-11,6,47.33619279,3.8572751781648145,6.880130288737271,Super Bowl,0,0,58,Train
2011-02-18,7,48.716164119999995,3.886010887132893,6.97969656360504,,0,0,59,Train
2011-02-25,8,44.125859840000004,3.787046001522526,6.6427298484884965,,0,0,60,Train
2011-03-04,9,46.98060374,3.849734830148619,6.854239836772565,,0,0,61,Train
2011-03-11,10,44.6273194,3.7983462140992716,6.680368208414862,,0,0,62,Train
2011-03-18,11,44.87232597,3.8038212566207266,6.698680912687213,,0,0,63,Train
2011-03-25,12,42.87619918,3.758316874307801,6.54799199602443,,0,0,64,Train
2011-04-01,13,43.45899119,3.7718177621796727,6.5923433762206285,,0,0,65,Train
2011-04-08,14,45.8874668,3.82619202531411,6.774028845524648,,0,0,66,Train
2011-04-15,15,44.97332814,3.8060696060494954,6.706215634767496,,0,0,67,Train
2011-04-22,16,48.67669206,3.885200313057763,6.976868356218283,,0,0,68,Train
2011-04-29,17,43.53003278,3.7734511086078,6.597729365471124,,0,0,69,Train
2011-05-06,18,46.86195829,3.847206222432668,6.845579470724155,,0,0,70,Train
2011-05-13,19,45.44614482,3.816527994583617,6.741375588112563,,0,0,71,Train
2011-05-20,20,44.04659801,3.785248119206821,6.6367611084022,,0,0,72,Train
2011-05-27,21,45.29345704,3.813162585853985,6.730041384716739,,0,0,73,Train
2011-06-03,22,48.77199418,3.8871562583672477,6.983694880219209,,0,0,74,Train
2011-06-10,23,47.669734659999996,3.86429670301706,6.904327241665186,,0,0,75,Train
2011-06-17,24,47.44756177,3.859625138488041,6.888219056476064,,0,0,76,Train
2011-06-24,25,45.884094579999996,3.826118533701876,6.773779932947335,,0,0,77,Train
2011-07-01,26,47.5785195,3.862381388375566,6.897718427132264,,0,0,78,Train
2011-07-08,27,47.85926378,3.8682646995787935,6.918039012610437,,0,0,79,Train
2011-07-15,28,45.515929920000005,3.818062372815222,6.746549482513265,,0,0,80,Train
2011-07-22,29,45.27441139,3.8127420029119126,6.728626263213019,,0,0,81,Train
2011-07-29,30,43.68327428,3.776965289249953,6.60933236265207,,0,0,82,Train
2011-08-05,31,48.01546697,3.871523187545091,6.929319372781139,,0,0,83,Train
2011-08-12,32,46.249569210000004,3.8340521495366766,6.800703581983265,,0,0,84,Train
2011-08-19,33,46.917347619999994,3.848387492349381,6.849623903543901,,0,0,85,Train
2011-08-26,34,47.41694845,3.8589797270271755,6.885996547341568,,0,0,86,Train
2011-09-02,35,45.37662327,3.8149970664905757,6.736217281976584,,0,0,87,Train
2011-09-09,36,46.76322753,3.8450971575323902,6.838364389969286,Labor Day,0,0,88,Train
2011-09-16,37,43.79396008,3.779495910156741,6.617700513018098,,0,0,89,Train
2011-09-23,38,42.71809673,3.754622641459086,6.535908255935054,,0,0,90,Train
2011-09-30,39,42.195830810000004,3.7423214201897586,6.49583180277938,,0,0,91,Train
2011-10-07,40,47.21168836,3.8546414966808498,6.871076215557501,,0,0,92,Train
2011-10-14,41,44.374820299999996,3.7926721982099156,6.661442809181806,,0,0,93,Train
2011-10-21,42,45.818953439999994,3.8246978360835717,6.7689698950431145,,0,0,94,Train
2011-10-28,43,45.855821049999996,3.8255021492044414,6.771692628139585,,0,0,95,Train
2011-11-04,44,48.655544299999995,3.8847657651397522,6.975352629079048,,0,0,96,Train
2011-11-11,45,48.47422475,3.881032208221046,6.962343337555251,,0,0,97,Train
2011-11-18,46,46.438980560000005,3.8381392048230283,6.814615217310513,,0,0,98,Train
2011-11-25,47,66.59360526,4.198608555819288,8.160490503640085,Thanksgiving,1,0,99,Train
2011-12-02,48,49.39055649,3.8997592417496376,7.0278415242519525,,0,0,100,Train
2011-12-09,49,55.56114770000001,4.017484174620235,7.453935048013231,,0,0,101,Train
2011-12-16,50,60.08569594,4.095771808887514,7.7514963677989295,,0,0,102,Train
2011-12-23,51,76.99824131,4.343782581462974,8.774864176156802,,0,1,103,Train
2011-12-30,52,46.04246104,3.829564036812536,6.785459530496074,Christmas,0,0,104,Train
2012-01-06,1,44.95542195,3.805671375445407,6.704880457547323,,0,0,105,Test
2012-01-13,2,42.023078479999995,3.738218954989375,6.482520997266418,,0,0,106,Test
2012-01-20,3,42.08099656,3.739596250658534,6.486986708788604,,0,0,107,Test
2012-01-27,4,39.83497467,3.684745286959151,6.311495438483656,,0,0,108,Test
2012-02-03,5,46.08560809,3.830500712324399,6.788638161663943,,0,0,109,Test
2012-02-10,6,50.00940792,3.9122111461285747,7.071733020978662,Super Bowl,0,0,110,Test
2012-02-17,7,50.19705696,3.9159563986842745,7.084988141133335,,0,0,111,Test
2012-02-24,8,45.77150657,3.823661770226078,6.765464253840974,,0,0,112,Test
2012-03-02,9,46.86103497,3.847186519263405,6.8455120312508395,,0,0,113,Test
2012-03-09,10,47.48045411,3.860318133933304,6.8906062222419875,,0,0,114,Test
2012-03-16,11,46.901504939999995,3.848049763210337,6.84846734240589,,0,0,115,Test
2012-03-23,12,44.99379445,3.8065245791499764,6.707741382164342,,0,0,116,Test
2012-03-30,13,45.272862020000005,3.812707780567235,6.728511129514464,,0,0,117,Test
2012-04-06,14,53.50231587,3.9797249402548127,7.314527727064817,,0,0,118,Test
2012-04-13,15,46.62926141,3.8422282713209914,6.828562177354761,,0,0,119,Test
2012-04-20,16,45.07252978,3.808272965147295,6.713607806537406,,0,0,120,Test
2012-04-27,17,43.71679889,3.7777324421922387,6.61186803331706,,0,0,121,Test
2012-05-04,18,47.12419793,3.852786625570282,6.864706689291247,,0,0,122,Test
2012-05-11,19,46.92587899,3.848569314103208,6.850246637165702,,0,0,123,Test
2012-05-18,20,46.82393922,3.8463945939357966,6.8428020006427195,,0,0,124,Test
2012-05-25,21,47.892463310000004,3.868958149866102,6.920438086566485,,0,0,125,Test
2012-06-01,22,48.28164972,3.8770515654881397,6.948499817946317,,0,0,126,Test
2012-06-08,23,49.65117178,3.9050219910183266,7.046358760381137,,0,0,127,Test
2012-06-15,24,48.4121107,3.8797500034968944,6.957881193294407,,0,0,128,Test
2012-06-22,25,47.66828497,3.8642662914350754,6.904222256706399,,0,0,129,Test
2012-06-29,26,46.59711212,3.841538567537457,6.8262077407591395,,0,0,130,Test
2012-07-06,27,51.253021880000006,3.9367745797924334,7.1591215857813175,,0,0,131,Test
2012-07-13,28,46.099732100000004,3.830807138705891,6.789678350260784,,0,0,132,Test
2012-07-20,29,46.05954345,3.829934982272203,6.786718164915941,,0,0,133,Test
2012-07-27,30,44.09715497,3.78639526721981,6.640568873974578,,0,0,134,Test
2012-08-03,31,47.48589956,3.8604328156030854,6.891001346683949,,0,0,135,Test
2012-08-10,32,47.40345104,3.8586950328018026,6.885016415376219,,0,0,136,Test
2012-08-17,33,47.35445205,3.857660839499304,6.881457116774034,,0,0,137,Test
2012-08-24,34,47.447323600000004,3.8596201188286763,6.888201768241114,,0,0,138,Test
2012-08-31,35,47.15963943,3.8535384299656417,6.8672876326829355,,0,0,139,Test
2012-09-07,36,48.33005931,3.878053713044322,6.951982401444929,Labor Day,0,0,140,Test
2012-09-14,37,44.22603865,3.7893137253551434,6.65026605858743,,0,0,141,Test
2012-09-21,38,44.35454711,3.7922152313466424,6.659920953735112,,0,0,142,Test
2012-09-28,39,43.734899399999996,3.7781463966519553,6.61323668108136,,0,0,143,Test
2012-10-05,40,47.56663931,3.862131660691881,6.896857205278358,,0,0,144,Test
2012-10-12,41,46.12851425,3.8314312891603004,6.7917975713355885,,0,0,145,Test
2012-10-19,42,45.12241057,3.809379031516245,6.7173216812953065,,0,0,146,Test
2012-10-26,43,45.54411629,3.8186814450005184,6.748638106314488,,0,0,147,Test
